Maimai data courtesy Jeff McDonnell           
1.0  ! stepsize (d)            
ST1: All data in mm/d           
ST2           
ST3           
*  ! list directed format ok here   
year,     month,   day,    hour,    min,    QC,   P (mm/d),  E (mm/d),  Q_obs (mm/d),  P-E (mm/d), 
1985		1		2		0		0		0		0.1		3.83002		0.2646			0
1985		1		3		0		0		0		4.2		3.83002		0.4426105		0.36998
1985		1		4		0		0		0		0		3.83002		0.3278842		0
1985		1		5		0		0		0		13.2	3.83002		0.5415158		9.36998
1985		1		6		0		0		0		2.4		3.83002		0.6209053		0
1985		1		7		0		0		0		14.3	3.83002		1.255737		10.46998
1985		1		8		0		0		0		4.4		3.83002		0.7436842		0.56998
1985		1		9		0		0		0		1.7		3.83002		0.4998316		0
1985		1		10		0		0		0		0		3.83002		0.2404421		0
1985		1		11		0		0		0		73.6	3.83002		27.27445		69.76998
1985		1		12		0		0		0		12.5	3.83002		9.322863		8.66998
1985		1		13		0		0		0		28.8	3.83002		20.34786		24.96998
1985		1		14		0		0		0		4.5		3.83002		8.321779		0.66998
1985		1		15		0		0		0		0.7		3.83002		2.6154			0
1985		1		16		0		0		0		0		3.83002		1.284632		0
1985		1		17		0		0		0		0		3.83002		0.7806316		0
1985		1		18		0		0		0		0		3.83002		0.664579		0
1985		1		19		0		0		0		0		3.83002		0.4436526		0
1985		1		20		0		0		0		0		3.83002		0.5167895		0
1985		1		21		0		0		0		10.2	3.83002		0.8257263		6.36998
1985		1		22		0		0		0		0.1		3.83002		0.7330736		0
1985		1		23		0		0		0		38.5	3.83002		7.130653		34.66998
1985		1		24		0		0		0		7.4		3.83002		6.315821		3.56998
1985		1		25		0		0		0		11.6	3.83002		4.054926		7.76998
1985		1		26		0		0		0		4.8		3.83002		5.349221		0.96998
1985		1		27		0		0		0		21.7	3.83002		10.0765			17.86998
1985		1		28		0		0		0		0		3.83002		8.067221		0
1985		1		29		0		0		0		0		3.83002		2.557421		0
1985		1		30		0		0		0		0		3.83002		1.534832		0
1985		1		31		0		0		0		0		3.83002		0.7624421		0
1985		2		1		0		0		0		0		3.83002		0.6407053		0
1985		2		2		0		0		0		15.5	3.59002		0.9910421		11.90998
1985		2		3		0		0		0		15		3.59002		4.991968		11.40998
1985		2		4		0		0		0		1.7		3.59002		1.295337		0
1985		2		5		0		0		0		0		3.59002		0.7198105		0
